1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 2D0000006EAA0441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 5 second(s)
Mission Start Time:  Thu Mar 17 09:00:01 AEDT 2022
Mission Sample Count:  1689
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 17 09:00:01 AEDT 2022
Total Mission Samples:  1689
Total Device Samples:  92654
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
17/3/22, 9:15:01 am,C,24.357
17/3/22, 9:15:06 am,C,24.42
17/3/22, 9:15:11 am,C,24.42
17/3/22, 9:15:16 am,C,24.42
17/3/22, 9:15:21 am,C,24.482
17/3/22, 9:15:26 am,C,24.482
17/3/22, 9:15:31 am,C,24.482
17/3/22, 9:15:36 am,C,24.482
17/3/22, 9:15:41 am,C,24.545
17/3/22, 9:15:46 am,C,24.545
17/3/22, 9:15:51 am,C,24.545
17/3/22, 9:15:56 am,C,24.545
17/3/22, 9:16:01 am,C,24.545
17/3/22, 9:16:06 am,C,24.607
17/3/22, 9:16:11 am,C,24.607
17/3/22, 9:16:16 am,C,24.607
17/3/22, 9:16:21 am,C,24.607
17/3/22, 9:16:26 am,C,24.607
17/3/22, 9:16:31 am,C,24.607
17/3/22, 9:16:36 am,C,24.607
17/3/22, 9:16:41 am,C,24.607
17/3/22, 9:16:46 am,C,24.67
17/3/22, 9:16:51 am,C,24.67
17/3/22, 9:16:56 am,C,24.67
17/3/22, 9:17:01 am,C,24.67
17/3/22, 9:17:06 am,C,24.67
17/3/22, 9:17:11 am,C,24.67
17/3/22, 9:17:16 am,C,24.67
17/3/22, 9:17:21 am,C,24.732
17/3/22, 9:17:26 am,C,24.732
17/3/22, 9:17:31 am,C,24.732
17/3/22, 9:17:36 am,C,24.732
17/3/22, 9:17:41 am,C,24.732
17/3/22, 9:17:46 am,C,25.107
17/3/22, 9:17:51 am,C,25.67
17/3/22, 9:17:56 am,C,26.295
17/3/22, 9:18:01 am,C,26.857
17/3/22, 9:18:06 am,C,27.357
17/3/22, 9:18:11 am,C,27.732
17/3/22, 9:18:16 am,C,28.107
17/3/22, 9:18:21 am,C,28.481
17/3/22, 9:18:26 am,C,28.731
17/3/22, 9:18:31 am,C,29.043
17/3/22, 9:18:36 am,C,29.293
17/3/22, 9:18:41 am,C,29.543
17/3/22, 9:18:46 am,C,29.793
17/3/22, 9:18:51 am,C,29.98
17/3/22, 9:18:56 am,C,30.167
17/3/22, 9:19:01 am,C,30.292
17/3/22, 9:19:06 am,C,30.48
17/3/22, 9:19:11 am,C,30.604
17/3/22, 9:19:16 am,C,30.729
17/3/22, 9:19:21 am,C,30.854
17/3/22, 9:19:26 am,C,30.979
17/3/22, 9:19:31 am,C,31.104
17/3/22, 9:19:36 am,C,31.166
17/3/22, 9:19:41 am,C,31.291
17/3/22, 9:19:46 am,C,31.354
17/3/22, 9:19:51 am,C,31.478
17/3/22, 9:19:56 am,C,31.541
17/3/22, 9:20:01 am,C,31.666
17/3/22, 9:20:06 am,C,31.79
17/3/22, 9:20:11 am,C,31.915
17/3/22, 9:20:16 am,C,32.04
17/3/22, 9:20:21 am,C,32.102
17/3/22, 9:20:26 am,C,32.227
17/3/22, 9:20:31 am,C,32.352
17/3/22, 9:20:36 am,C,32.477
17/3/22, 9:20:41 am,C,32.602
17/3/22, 9:20:46 am,C,32.664
17/3/22, 9:20:51 am,C,32.789
17/3/22, 9:20:56 am,C,32.914
17/3/22, 9:21:01 am,C,32.976
17/3/22, 9:21:06 am,C,33.101
17/3/22, 9:21:11 am,C,33.163
17/3/22, 9:21:16 am,C,33.288
17/3/22, 9:21:21 am,C,33.35
17/3/22, 9:21:26 am,C,33.413
17/3/22, 9:21:31 am,C,33.475
17/3/22, 9:21:36 am,C,33.538
17/3/22, 9:21:41 am,C,33.6
17/3/22, 9:21:46 am,C,33.725
17/3/22, 9:21:51 am,C,33.787
17/3/22, 9:21:56 am,C,33.85
17/3/22, 9:22:01 am,C,33.912
17/3/22, 9:22:06 am,C,33.974
17/3/22, 9:22:11 am,C,33.974
17/3/22, 9:22:16 am,C,34.037
17/3/22, 9:22:21 am,C,34.099
17/3/22, 9:22:26 am,C,34.161
17/3/22, 9:22:31 am,C,34.224
17/3/22, 9:22:36 am,C,34.286
17/3/22, 9:22:41 am,C,34.286
17/3/22, 9:22:46 am,C,34.349
17/3/22, 9:22:51 am,C,34.411
17/3/22, 9:22:56 am,C,34.411
17/3/22, 9:23:01 am,C,34.473
17/3/22, 9:23:06 am,C,34.536
17/3/22, 9:23:11 am,C,34.598
17/3/22, 9:23:16 am,C,34.598
17/3/22, 9:23:21 am,C,34.598
17/3/22, 9:23:26 am,C,34.66
17/3/22, 9:23:31 am,C,34.66
17/3/22, 9:23:36 am,C,34.723
17/3/22, 9:23:41 am,C,34.723
17/3/22, 9:23:46 am,C,34.723
17/3/22, 9:23:51 am,C,34.723
17/3/22, 9:23:56 am,C,34.785
17/3/22, 9:24:01 am,C,34.785
17/3/22, 9:24:06 am,C,34.785
17/3/22, 9:24:11 am,C,34.785
17/3/22, 9:24:16 am,C,34.848
17/3/22, 9:24:21 am,C,34.848
17/3/22, 9:24:26 am,C,34.91
17/3/22, 9:24:31 am,C,34.91
17/3/22, 9:24:36 am,C,34.91
